,x,y,tssite,region,cell,frame
0,919,395,False,Cytoplasm,2,0
1,889,428,False,Nucleus,2,0
2,953,433,False,Cytoplasm,2,0
3,954,486,False,Cytoplasm,2,0
4,861,489,False,Nucleus,2,0
5,1601,1057,False,Cytoplasm,3,0
6,1401,1057,False,Cytoplasm,3,0
7,1510,1136,False,Cytoplasm,3,0
8,997,1243,False,Nucleus,4,0
9,654,1274,False,Cytoplasm,5,0
10,905,476,False,Nucleus,2,0
11,841,482,False,Nucleus,2,0
12,822,541,False,Nucleus,2,0
13,860,561,False,Nucleus,2,0
14,1568,1032,False,Nucleus,3,0
15,1402,1058,False,Cytoplasm,3,0
16,1451,1065,False,Nucleus,3,0
17,576,1248,False,Nucleus,5,0
18,924,454,False,Nucleus,2,0
19,925,455,False,Nucleus,2,0
20,730,1078,True,Cytoplasm,4,0
21,162,152,False,Cytoplasm,1,1
22,1426,220,False,Nucleus,2,1
23,1420,225,False,Nucleus,2,1
24,1416,230,False,Nucleus,2,1
25,1502,408,False,Cytoplasm,2,1
26,650,429,False,Nucleus,3,1
27,735,437,False,Nucleus,3,1
28,645,442,False,Nucleus,3,1
29,811,463,False,Cytoplasm,3,1
30,641,474,False,Nucleus,3,1
31,678,495,False,Nucleus,3,1
32,655,512,False,Cytoplasm,3,1
33,1766,1187,False,Cytoplasm,4,1
34,1553,1247,False,Nucleus,4,1
35,1568,1284,False,Nucleus,4,1
36,1544,1342,False,Nucleus,4,1
37,1296,1386,False,Cytoplasm,5,1
38,1299,1416,False,Nucleus,5,1
39,1514,1422,False,Cytoplasm,4,1
40,1257,1429,False,Nucleus,5,1
41,1310,1457,False,Nucleus,5,1
42,1203,1499,False,Cytoplasm,5,1
43,1345,1503,False,Nucleus,5,1
44,1246,1547,False,Cytoplasm,5,1
45,1325,1579,False,Cytoplasm,5,1
46,1562,1252,False,Nucleus,4,1
47,1568,1285,False,Nucleus,4,1
48,1670,1312,False,Cytoplasm,4,1
49,1262,1372,False,Cytoplasm,5,1
50,1346,1400,False,Cytoplasm,5,1
51,1354,1522,False,Nucleus,5,1
52,1228,1543,False,Cytoplasm,5,1
53,664,387,False,Nucleus,3,1
54,665,385,False,Nucleus,3,1
55,750,410,False,Nucleus,3,1
56,748,415,False,Nucleus,3,1
57,745,416,False,Nucleus,3,1
58,749,417,False,Nucleus,3,1
59,747,414,False,Nucleus,3,1
60,750,415,False,Nucleus,3,1
61,744,412,False,Nucleus,3,1
62,761,446,False,Nucleus,3,1
63,764,447,False,Nucleus,3,1
64,763,445,False,Nucleus,3,1
65,665,483,False,Nucleus,3,1
66,664,483,False,Nucleus,3,1
67,663,484,False,Nucleus,3,1
68,665,481,False,Nucleus,3,1
69,666,484,False,Nucleus,3,1
70,662,481,False,Nucleus,3,1
71,662,485,False,Nucleus,3,1
72,1558,1238,False,Nucleus,4,1
73,1556,1241,False,Nucleus,4,1
74,1583,1243,False,Nucleus,4,1
75,1534,1265,False,Nucleus,4,1
76,1535,1265,False,Nucleus,4,1
77,1534,1264,False,Nucleus,4,1
78,1537,1265,False,Nucleus,4,1
79,1533,1266,False,Nucleus,4,1
80,1537,1265,False,Nucleus,4,1
81,1532,1267,False,Nucleus,4,1
82,1534,1264,False,Nucleus,4,1
83,1482,1284,False,Cytoplasm,4,1
84,1483,1292,False,Cytoplasm,4,1
85,1483,1292,False,Cytoplasm,4,1
86,1601,1299,False,Nucleus,4,1
87,1602,1300,False,Nucleus,4,1
88,1617,1313,False,Nucleus,4,1
89,1617,1313,False,Nucleus,4,1
90,1616,1314,False,Nucleus,4,1
91,1617,1313,False,Nucleus,4,1
92,1620,1312,False,Nucleus,4,1
93,1615,1314,False,Nucleus,4,1
94,1619,1311,False,Nucleus,4,1
95,1615,1313,False,Nucleus,4,1
96,1617,1312,False,Nucleus,4,1
97,1620,1312,False,Nucleus,4,1
98,1617,1314,False,Nucleus,4,1
99,1620,1310,False,Nucleus,4,1
100,1615,1314,False,Nucleus,4,1
101,1618,1316,False,Nucleus,4,1
102,1621,1315,False,Nucleus,4,1
103,1618,1308,False,Nucleus,4,1
104,1260,1347,False,Cytoplasm,5,1
105,1316,1400,False,Nucleus,5,1
106,1316,1399,False,Nucleus,5,1
107,1285,1420,False,Nucleus,5,1
108,1285,1420,False,Nucleus,5,1
109,1285,1420,False,Nucleus,5,1
110,1285,1420,False,Nucleus,5,1
111,1283,1421,False,Nucleus,5,1
112,1285,1420,False,Nucleus,5,1
113,1284,1422,False,Nucleus,5,1
114,1286,1423,False,Nucleus,5,1
115,1285,1416,False,Nucleus,5,1
116,1342,1444,False,Nucleus,5,1
117,1341,1445,False,Nucleus,5,1
118,1341,1498,False,Nucleus,5,1
119,1356,1500,False,Nucleus,5,1
120,1355,1502,False,Nucleus,5,1
121,1265,1534,True,Cytoplasm,5,1
122,1312,1617,True,Cytoplasm,5,1
123,1120,159,False,Cytoplasm,4,2
124,1097,280,False,Nucleus,4,2
125,1134,282,False,Nucleus,4,2
126,1015,303,False,Cytoplasm,4,2
127,1122,314,False,Nucleus,4,2
128,1046,374,False,Cytoplasm,4,2
129,1032,425,False,Cytoplasm,4,2
130,356,831,False,Cytoplasm,1,2
131,307,912,False,Nucleus,1,2
132,1197,1013,False,Nucleus,3,2
133,510,1034,False,Nucleus,2,2
134,532,1053,False,Nucleus,2,2
135,1181,1096,False,Nucleus,3,2
136,1144,1098,False,Nucleus,3,2
137,1154,1112,False,Nucleus,3,2
138,1155,1122,False,Nucleus,3,2
139,1130,1125,False,Cytoplasm,3,2
140,1111,1140,False,Cytoplasm,3,2
141,1110,1153,False,Cytoplasm,3,2
142,1150,1167,False,Cytoplasm,3,2
143,1173,1170,False,Cytoplasm,3,2
144,1155,1186,False,Cytoplasm,3,2
145,1158,232,False,Cytoplasm,4,2
146,1052,319,False,Nucleus,4,2
147,268,913,False,Nucleus,1,2
148,1128,190,False,Cytoplasm,4,2
149,1157,263,False,Cytoplasm,4,2
150,1073,288,False,Nucleus,4,2
151,1133,305,False,Nucleus,4,2
152,1132,307,False,Nucleus,4,2
153,1058,315,False,Nucleus,4,2
