,x,y,tssite,region,cell,frame
0,743,589,False,Cytoplasm,1,1
1,1088,696,False,Nucleus,2,1
2,1033,773,False,Cytoplasm,2,1
3,979,778,False,Cytoplasm,2,1
4,1051,811,False,Cytoplasm,2,1
5,1040,848,False,Cytoplasm,2,1
6,776,342,False,Cytoplasm,1,1
7,1013,697,False,Nucleus,2,1
8,937,753,False,Cytoplasm,2,1
9,1021,834,False,Cytoplasm,2,1
10,1020,835,False,Cytoplasm,2,1
11,913,1291,False,Cytoplasm,3,1
12,1387,612,False,Cytoplasm,1,3
13,1153,1311,False,Cytoplasm,2,3
14,1185,1422,False,Cytoplasm,2,3
15,1218,1454,False,Nucleus,2,3
16,1294,680,False,Cytoplasm,1,3
17,976,773,False,Cytoplasm,1,3
18,1256,642,False,Cytoplasm,1,3
19,1243,779,False,Nucleus,1,3
20,1263,1504,False,Nucleus,2,3
21,1231,1582,False,Nucleus,2,3
22,829,355,False,Cytoplasm,1,4
23,776,384,False,Cytoplasm,1,4
24,909,513,False,Nucleus,1,4
25,730,1168,False,Nucleus,3,4
26,727,1249,False,Cytoplasm,3,4
27,947,409,False,Nucleus,1,4
28,911,650,False,Cytoplasm,1,4
29,911,650,False,Cytoplasm,1,4
30,912,649,False,Cytoplasm,1,4
31,716,1439,False,Cytoplasm,1,5
32,1405,882,False,Cytoplasm,2,6
33,1418,924,False,Cytoplasm,2,6
34,1490,996,False,Cytoplasm,2,6
35,1548,1019,False,Nucleus,2,6
36,1720,1094,False,Cytoplasm,2,6
37,1679,1133,False,Cytoplasm,2,6
38,1374,825,False,Cytoplasm,2,6
39,1406,881,False,Cytoplasm,2,6
40,1419,924,False,Cytoplasm,2,6
41,1577,977,False,Nucleus,2,6
42,1721,1095,False,Cytoplasm,2,6
43,1548,1020,False,Nucleus,2,6
44,1475,1026,False,Cytoplasm,2,6
45,1607,1097,False,Nucleus,2,6
46,1607,1097,False,Nucleus,2,6
47,1609,1098,False,Nucleus,2,6
48,1606,1095,False,Nucleus,2,6
49,1600,1126,False,Nucleus,2,6
50,898,332,False,Nucleus,1,8
51,676,705,False,Nucleus,2,8
52,847,676,False,Cytoplasm,2,8
53,847,674,False,Cytoplasm,2,8
54,844,677,False,Cytoplasm,2,8
55,1461,352,False,Cytoplasm,1,14
56,1606,417,False,Cytoplasm,1,14
57,1565,436,False,Cytoplasm,1,14
58,1583,447,False,Cytoplasm,1,14
59,1565,453,False,Cytoplasm,1,14
60,1548,455,False,Cytoplasm,1,14
61,1583,469,False,Cytoplasm,1,14
62,574,476,False,Cytoplasm,2,14
63,1558,490,False,Cytoplasm,1,14
64,1456,335,False,Cytoplasm,1,14
65,1586,431,False,Cytoplasm,1,14
66,1584,437,False,Cytoplasm,1,14
67,1566,438,False,Cytoplasm,1,14
68,1565,454,False,Cytoplasm,1,14
69,913,607,False,Cytoplasm,2,15
70,971,660,False,Cytoplasm,2,15
71,807,1208,False,Nucleus,3,16
72,831,1245,False,Nucleus,3,16
73,1277,636,False,Cytoplasm,1,16
74,1339,901,False,Cytoplasm,1,20
75,1353,902,False,Cytoplasm,1,20
76,1366,941,False,Cytoplasm,1,20
77,1381,954,False,Cytoplasm,1,20
78,1381,986,False,Nucleus,1,20
79,1177,1180,False,Cytoplasm,1,20
80,1373,969,False,Cytoplasm,1,20
81,1250,1155,False,Cytoplasm,1,20
82,1347,905,False,Cytoplasm,1,20
83,1352,903,False,Cytoplasm,1,20
84,1359,1033,False,Nucleus,1,20
85,1358,1034,False,Nucleus,1,20
86,1356,1042,False,Nucleus,1,20
87,1354,1043,False,Nucleus,1,20
88,1357,1038,False,Nucleus,1,20
89,1302,1082,False,Nucleus,1,20
90,1302,1101,False,Nucleus,1,20
91,1303,1104,False,Nucleus,1,20
92,1302,1101,False,Nucleus,1,20
93,701,737,False,Cytoplasm,1,21
94,852,756,False,Nucleus,1,21
95,751,763,False,Nucleus,1,21
96,853,756,False,Nucleus,1,21
97,867,648,False,Cytoplasm,1,21
98,868,683,False,Nucleus,1,21
99,902,704,False,Nucleus,1,21
100,1012,458,False,Cytoplasm,1,23
101,1060,621,False,Cytoplasm,1,23
102,1319,1018,False,Cytoplasm,2,23
103,1364,1028,False,Cytoplasm,2,23
104,1332,1037,False,Cytoplasm,2,23
105,1328,1044,False,Cytoplasm,2,23
106,1330,1052,False,Cytoplasm,2,23
107,1343,1052,False,Cytoplasm,2,23
