,x,y,tssite,region,cell,frame
0,1517,263,False,Cytoplasm,1,5
1,1529,298,False,Cytoplasm,1,5
2,1379,302,False,Cytoplasm,1,5
3,1455,315,False,Nucleus,1,5
4,1405,322,False,Cytoplasm,1,5
5,1492,346,False,Nucleus,1,5
6,1378,353,False,Cytoplasm,1,5
7,1355,382,False,Cytoplasm,1,5
8,1066,596,False,Cytoplasm,2,5
9,971,596,False,Nucleus,2,5
10,1041,627,False,Cytoplasm,2,5
11,1140,627,False,Cytoplasm,2,5
12,1119,644,False,Cytoplasm,2,5
13,944,649,False,Nucleus,2,5
14,1043,653,False,Cytoplasm,2,5
15,1080,667,False,Cytoplasm,2,5
16,1158,667,False,Cytoplasm,2,5
17,1035,668,False,Nucleus,2,5
18,1146,674,False,Cytoplasm,2,5
19,1079,675,False,Cytoplasm,2,5
20,1129,677,False,Cytoplasm,2,5
21,1097,699,False,Cytoplasm,2,5
22,1182,702,False,Cytoplasm,2,5
23,1174,703,False,Cytoplasm,2,5
24,910,739,False,Cytoplasm,2,5
25,949,739,False,Cytoplasm,2,5
26,960,767,False,Cytoplasm,2,5
27,1009,773,False,Nucleus,2,5
28,1378,782,False,Cytoplasm,2,5
29,1045,785,False,Cytoplasm,2,5
30,1276,221,False,Cytoplasm,1,5
31,1381,310,False,Cytoplasm,1,5
32,1405,324,False,Cytoplasm,1,5
33,1491,345,False,Nucleus,1,5
34,1379,354,False,Cytoplasm,1,5
35,1523,355,False,Cytoplasm,1,5
36,1540,379,False,Cytoplasm,1,5
37,1381,399,False,Cytoplasm,1,5
38,985,490,False,Cytoplasm,2,5
39,1015,546,False,Cytoplasm,2,5
40,1111,625,False,Cytoplasm,2,5
41,945,649,False,Nucleus,2,5
42,1031,672,False,Nucleus,2,5
43,1081,674,False,Cytoplasm,2,5
44,1199,687,False,Cytoplasm,2,5
45,1098,700,False,Cytoplasm,2,5
46,910,740,False,Cytoplasm,2,5
47,949,741,False,Cytoplasm,2,5
48,961,769,False,Cytoplasm,2,5
49,1114,855,False,Cytoplasm,2,5
50,1349,333,False,Cytoplasm,1,5
51,1414,359,False,Cytoplasm,1,5
52,1463,368,False,Nucleus,1,5
53,1028,445,False,Cytoplasm,2,5
54,1058,526,False,Cytoplasm,2,5
55,1060,535,False,Cytoplasm,2,5
56,1058,536,False,Cytoplasm,2,5
57,1070,561,False,Cytoplasm,2,5
58,1070,561,False,Cytoplasm,2,5
59,1113,569,False,Cytoplasm,2,5
60,1066,595,False,Cytoplasm,2,5
61,1068,598,False,Cytoplasm,2,5
62,1078,598,False,Cytoplasm,2,5
63,1049,604,False,Cytoplasm,2,5
64,1048,599,False,Cytoplasm,2,5
65,1085,600,False,Cytoplasm,2,5
66,1085,603,False,Cytoplasm,2,5
67,1099,663,False,Cytoplasm,2,5
68,1099,663,False,Cytoplasm,2,5
69,1107,667,False,Cytoplasm,2,5
70,986,671,False,Nucleus,2,5
71,905,687,False,Cytoplasm,2,5
72,860,705,False,Cytoplasm,2,5
73,1055,771,False,Cytoplasm,2,5
74,1157,881,False,Cytoplasm,2,5
75,1083,589,False,Nucleus,2,6
76,1053,592,False,Nucleus,2,6
77,1051,669,False,Cytoplasm,2,6
78,1117,674,False,Cytoplasm,2,6
79,882,679,False,Cytoplasm,2,6
80,1158,807,False,Cytoplasm,2,6
81,687,333,False,Cytoplasm,1,6
82,1107,576,False,Nucleus,2,6
83,1005,591,False,Nucleus,2,6
84,1034,598,False,Nucleus,2,6
85,1006,600,False,Nucleus,2,6
86,1133,610,False,Cytoplasm,2,6
87,1029,622,False,Nucleus,2,6
88,1008,626,False,Nucleus,2,6
89,1036,627,False,Nucleus,2,6
90,921,630,False,Cytoplasm,2,6
91,1081,638,False,Nucleus,2,6
92,1143,643,False,Cytoplasm,2,6
93,1082,672,False,Cytoplasm,2,6
94,880,681,False,Cytoplasm,2,6
95,877,683,False,Cytoplasm,2,6
96,1046,691,False,Cytoplasm,2,6
97,1160,808,False,Cytoplasm,2,6
98,1121,537,False,Cytoplasm,2,6
99,1084,546,False,Nucleus,2,6
100,1214,581,False,Cytoplasm,2,6
101,1070,607,False,Nucleus,2,6
102,1125,615,False,Nucleus,2,6
103,1010,620,False,Nucleus,2,6
104,1100,644,False,Nucleus,2,6
105,1170,666,False,Cytoplasm,2,6
106,879,694,False,Cytoplasm,2,6
107,1064,760,False,Cytoplasm,2,6
108,1560,227,False,Cytoplasm,2,10
109,1626,249,False,Cytoplasm,2,10
110,1565,287,False,Cytoplasm,2,10
111,1517,318,False,Cytoplasm,2,10
112,1593,355,False,Cytoplasm,2,10
113,1292,602,False,Cytoplasm,3,10
114,1213,665,False,Nucleus,3,10
115,1217,675,False,Nucleus,3,10
116,1145,689,False,Nucleus,3,10
