,x,y,tssite,region,cell,frame
0,614,495,False,Cytoplasm,1,0
1,626,583,False,Cytoplasm,1,0
2,492,618,False,Cytoplasm,1,0
3,626,639,False,Cytoplasm,1,0
4,641,639,False,Cytoplasm,1,0
5,639,718,False,Cytoplasm,1,0
6,791,741,False,Cytoplasm,1,0
7,699,797,False,Nucleus,1,0
8,870,808,False,Cytoplasm,1,0
9,862,828,False,Cytoplasm,1,0
10,643,841,False,Cytoplasm,1,0
11,825,858,False,Cytoplasm,1,0
12,777,868,False,Nucleus,1,0
13,874,920,False,Cytoplasm,1,0
14,755,921,False,Nucleus,1,0
15,784,957,False,Nucleus,1,0
16,802,961,False,Cytoplasm,1,0
17,784,967,False,Cytoplasm,1,0
18,753,976,False,Nucleus,1,0
19,709,978,False,Cytoplasm,1,0
20,817,1004,False,Cytoplasm,1,0
21,756,1010,False,Cytoplasm,1,0
22,782,1013,False,Cytoplasm,1,0
23,773,1032,False,Cytoplasm,1,0
24,743,1037,False,Cytoplasm,1,0
25,748,1073,False,Cytoplasm,1,0
26,1458,1523,False,Cytoplasm,2,0
27,629,545,False,Cytoplasm,1,0
28,823,686,False,Cytoplasm,1,0
29,817,755,False,Cytoplasm,1,0
30,871,760,False,Cytoplasm,1,0
31,661,762,False,Cytoplasm,1,0
32,833,762,False,Cytoplasm,1,0
33,871,807,False,Cytoplasm,1,0
34,742,809,False,Nucleus,1,0
35,736,826,False,Nucleus,1,0
36,750,991,False,Cytoplasm,1,0
37,781,1033,False,Cytoplasm,1,0
38,764,1051,False,Cytoplasm,1,0
39,751,1058,False,Cytoplasm,1,0
40,772,1077,False,Cytoplasm,1,0
41,521,618,False,Cytoplasm,1,0
42,674,710,False,Cytoplasm,1,0
43,842,775,False,Cytoplasm,1,0
44,841,775,False,Cytoplasm,1,0
45,754,779,False,Nucleus,1,0
46,893,784,False,Cytoplasm,1,0
47,713,822,False,Nucleus,1,0
48,713,823,False,Nucleus,1,0
49,714,822,False,Nucleus,1,0
50,711,822,False,Nucleus,1,0
51,807,826,False,Nucleus,1,0
52,716,826,False,Nucleus,1,0
53,689,922,False,Nucleus,1,0
54,744,943,False,Nucleus,1,0
55,743,942,False,Nucleus,1,0
56,744,943,False,Nucleus,1,0
57,743,942,False,Nucleus,1,0
58,744,943,False,Nucleus,1,0
59,744,941,False,Nucleus,1,0
60,742,944,False,Nucleus,1,0
61,747,944,False,Nucleus,1,0
62,743,941,False,Nucleus,1,0
63,742,944,False,Nucleus,1,0
64,745,941,False,Nucleus,1,0
65,747,944,False,Nucleus,1,0
66,741,942,False,Nucleus,1,0
67,739,942,False,Nucleus,1,0
68,745,945,False,Nucleus,1,0
69,745,941,False,Nucleus,1,0
70,742,944,False,Nucleus,1,0
71,749,944,False,Nucleus,1,0
72,860,961,False,Cytoplasm,1,0
73,788,1069,False,Cytoplasm,1,0
74,795,1088,False,Cytoplasm,1,0
75,1316,257,False,Cytoplasm,1,1
76,1370,256,False,Cytoplasm,1,1
77,1356,264,False,Cytoplasm,1,1
78,1368,285,False,Cytoplasm,1,1
79,1224,312,False,Nucleus,1,1
80,1340,320,False,Cytoplasm,1,1
81,1329,329,False,Cytoplasm,1,1
82,1346,333,False,Cytoplasm,1,1
83,1352,352,False,Cytoplasm,1,1
84,1319,373,False,Cytoplasm,1,1
85,1216,383,False,Nucleus,1,1
86,946,391,False,Cytoplasm,2,1
87,845,409,False,Nucleus,2,1
88,323,902,False,Cytoplasm,3,1
