,x,y,tssite,region,cell,frame
0,783,296,False,Cytoplasm,3,0
1,680,303,False,Cytoplasm,3,0
2,699,326,False,Cytoplasm,3,0
3,654,334,False,Cytoplasm,3,0
4,729,350,False,Cytoplasm,3,0
5,645,897,False,Cytoplasm,1,0
6,381,1204,False,Cytoplasm,2,0
7,745,292,False,Cytoplasm,3,0
8,626,910,False,Nucleus,1,0
9,399,1236,False,Cytoplasm,2,0
10,746,262,False,Cytoplasm,3,0
11,796,276,False,Cytoplasm,3,0
12,732,505,False,Nucleus,3,0
13,643,834,False,Cytoplasm,1,0
14,644,836,False,Cytoplasm,1,0
15,625,898,False,Nucleus,1,0
16,624,892,False,Nucleus,1,0
17,621,898,False,Nucleus,1,0
18,561,1260,False,Nucleus,2,0
19,561,1260,False,Nucleus,2,0
20,1008,729,False,Cytoplasm,2,1
21,936,748,False,Cytoplasm,2,1
22,962,750,False,Nucleus,2,1
23,1014,753,False,Cytoplasm,2,1
24,965,763,False,Nucleus,2,1
25,991,762,False,Cytoplasm,2,1
26,959,765,False,Nucleus,2,1
27,940,768,False,Nucleus,2,1
28,950,768,False,Nucleus,2,1
29,955,850,False,Cytoplasm,2,1
30,1171,1271,False,Cytoplasm,3,1
31,1234,1274,False,Cytoplasm,3,1
32,1210,1279,False,Cytoplasm,3,1
33,991,763,False,Cytoplasm,2,1
34,1028,727,False,Cytoplasm,2,1
35,1028,730,False,Cytoplasm,2,1
36,936,749,False,Cytoplasm,2,1
37,978,758,False,Nucleus,2,1
38,974,757,False,Nucleus,2,1
39,975,761,False,Nucleus,2,1
40,965,764,False,Nucleus,2,1
41,943,767,False,Nucleus,2,1
42,950,769,False,Nucleus,2,1
43,905,790,False,Nucleus,2,1
44,813,219,False,Cytoplasm,2,2
45,374,308,False,Nucleus,1,2
46,714,345,False,Cytoplasm,2,2
47,913,396,False,Cytoplasm,2,2
48,549,723,False,Nucleus,3,2
49,881,807,False,Cytoplasm,4,2
50,899,822,False,Cytoplasm,4,2
51,851,824,False,Cytoplasm,4,2
52,879,827,False,Cytoplasm,4,2
53,960,833,False,Cytoplasm,4,2
54,971,855,False,Cytoplasm,4,2
55,839,856,False,Cytoplasm,4,2
56,1065,868,False,Cytoplasm,4,2
57,977,880,False,Cytoplasm,4,2
58,788,885,False,Cytoplasm,4,2
59,823,895,False,Cytoplasm,4,2
60,1095,916,False,Cytoplasm,4,2
61,819,919,False,Cytoplasm,4,2
62,1078,948,False,Cytoplasm,4,2
63,828,968,False,Cytoplasm,4,2
64,1025,972,False,Cytoplasm,4,2
65,967,985,False,Nucleus,4,2
66,1024,986,False,Cytoplasm,4,2
67,1087,1023,False,Cytoplasm,4,2
68,1052,1028,False,Cytoplasm,4,2
69,1071,1030,False,Cytoplasm,4,2
70,1071,1070,False,Cytoplasm,4,2
71,727,1123,False,Cytoplasm,5,2
72,1086,1136,False,Cytoplasm,4,2
73,1103,1147,False,Cytoplasm,4,2
74,584,1169,False,Nucleus,5,2
75,736,1213,False,Cytoplasm,5,2
76,478,1393,False,Cytoplasm,6,2
77,390,1449,False,Nucleus,6,2
78,931,788,False,Cytoplasm,4,2
79,847,860,False,Cytoplasm,4,2
80,978,879,False,Cytoplasm,4,2
81,823,896,False,Cytoplasm,4,2
82,1025,974,False,Cytoplasm,4,2
83,1072,1030,False,Cytoplasm,4,2
84,845,1040,False,Cytoplasm,4,2
85,886,1049,False,Nucleus,4,2
86,1078,1132,False,Cytoplasm,4,2
87,1042,1263,False,Cytoplasm,4,2
88,1056,1324,False,Cytoplasm,4,2
89,821,263,False,Nucleus,2,2
90,821,263,False,Nucleus,2,2
91,847,293,False,Nucleus,2,2
92,360,301,False,Nucleus,1,2
93,865,829,False,Cytoplasm,4,2
94,864,828,False,Cytoplasm,4,2
95,892,833,False,Cytoplasm,4,2
96,961,834,False,Cytoplasm,4,2
97,890,838,False,Cytoplasm,4,2
98,814,846,False,Cytoplasm,4,2
99,839,857,False,Cytoplasm,4,2
100,938,875,False,Nucleus,4,2
101,805,907,False,Cytoplasm,4,2
102,984,909,False,Cytoplasm,4,2
103,986,909,False,Cytoplasm,4,2
104,1018,984,False,Cytoplasm,4,2
105,1016,988,False,Cytoplasm,4,2
106,1033,988,False,Cytoplasm,4,2
107,1059,1003,False,Cytoplasm,4,2
108,1053,1009,False,Cytoplasm,4,2
109,1053,1029,False,Cytoplasm,4,2
110,889,1031,False,Nucleus,4,2
111,890,1032,False,Nucleus,4,2
112,1018,1033,False,Nucleus,4,2
113,1007,1123,False,Cytoplasm,4,2
114,1000,1129,False,Cytoplasm,4,2
115,999,1128,False,Cytoplasm,4,2
116,1000,1129,False,Cytoplasm,4,2
117,929,1148,False,Cytoplasm,4,2
118,931,1150,False,Cytoplasm,4,2
119,1080,1147,False,Cytoplasm,4,2
120,561,1175,False,Nucleus,5,2
121,1552,321,False,Nucleus,1,3
122,749,510,False,Cytoplasm,2,3
123,427,511,False,Nucleus,4,3
124,1355,702,False,Nucleus,3,3
125,1506,729,False,Cytoplasm,3,3
126,1503,738,False,Cytoplasm,3,3
127,1412,769,False,Nucleus,3,3
128,1480,784,False,Cytoplasm,3,3
129,1456,809,False,Cytoplasm,3,3
130,1480,820,False,Cytoplasm,3,3
131,1456,833,False,Cytoplasm,3,3
132,1536,847,False,Cytoplasm,3,3
133,802,906,False,Nucleus,5,3
134,737,935,False,Nucleus,5,3
135,815,942,False,Cytoplasm,5,3
136,831,954,False,Cytoplasm,5,3
137,315,973,False,Nucleus,6,3
138,401,982,False,Cytoplasm,6,3
139,636,1029,False,Cytoplasm,5,3
140,667,1031,False,Cytoplasm,5,3
141,762,1306,False,Cytoplasm,8,3
142,323,1375,False,Nucleus,7,3
143,1427,716,False,Nucleus,3,3
144,982,1409,False,Cytoplasm,8,3
145,381,486,False,Nucleus,4,3
146,383,486,False,Nucleus,4,3
147,334,541,False,Nucleus,4,3
148,334,543,False,Nucleus,4,3
149,418,545,False,Nucleus,4,3
150,1338,683,False,Nucleus,3,3
151,1337,684,False,Nucleus,3,3
152,1379,683,False,Nucleus,3,3
153,1307,693,False,Nucleus,3,3
154,1492,729,False,Cytoplasm,3,3
155,1374,753,False,Nucleus,3,3
156,1480,771,False,Cytoplasm,3,3
157,1461,795,False,Cytoplasm,3,3
158,1461,793,False,Cytoplasm,3,3
159,1457,809,False,Cytoplasm,3,3
160,1465,813,False,Cytoplasm,3,3
161,1446,820,False,Cytoplasm,3,3
162,771,903,False,Nucleus,5,3
163,704,940,False,Nucleus,5,3
164,704,940,False,Nucleus,5,3
165,667,1032,False,Cytoplasm,5,3
166,340,1065,False,Nucleus,6,3
167,990,254,False,Nucleus,1,4
168,995,270,False,Nucleus,1,4
169,927,299,False,Nucleus,1,4
170,1055,299,False,Nucleus,1,4
171,984,357,False,Nucleus,1,4
172,840,521,False,Cytoplasm,1,4
173,1480,541,False,Nucleus,2,4
174,557,621,False,Cytoplasm,3,4
175,696,661,False,Nucleus,3,4
176,591,769,False,Nucleus,3,4
177,590,780,False,Cytoplasm,3,4
178,1037,813,False,Cytoplasm,4,4
179,1057,816,False,Cytoplasm,4,4
180,934,817,False,Cytoplasm,4,4
181,1036,823,False,Cytoplasm,4,4
182,951,847,False,Nucleus,4,4
183,1081,859,False,Cytoplasm,4,4
184,1046,869,False,Cytoplasm,4,4
185,1095,870,False,Cytoplasm,4,4
186,693,959,False,Nucleus,5,4
187,707,962,False,Nucleus,5,4
188,706,968,False,Nucleus,5,4
189,717,969,False,Nucleus,5,4
190,647,1074,False,Cytoplasm,5,4
191,768,1083,False,Cytoplasm,5,4
192,750,1090,False,Cytoplasm,5,4
193,737,1101,False,Cytoplasm,5,4
194,699,1125,False,Nucleus,5,4
195,743,1129,False,Nucleus,5,4
196,769,1151,False,Cytoplasm,5,4
197,750,1170,False,Nucleus,5,4
198,772,1212,False,Nucleus,5,4
199,804,1237,False,Cytoplasm,5,4
200,953,181,False,Nucleus,1,4
201,1138,186,False,Cytoplasm,1,4
202,957,193,False,Nucleus,1,4
203,996,270,False,Nucleus,1,4
204,974,298,False,Nucleus,1,4
205,983,358,False,Nucleus,1,4
206,549,734,False,Cytoplasm,3,4
207,1163,781,False,Cytoplasm,4,4
208,986,815,False,Cytoplasm,4,4
209,1037,823,False,Cytoplasm,4,4
210,993,836,False,Cytoplasm,4,4
211,1051,837,False,Cytoplasm,4,4
212,1046,868,False,Cytoplasm,4,4
213,781,1085,False,Cytoplasm,5,4
214,750,1149,False,Nucleus,5,4
215,764,1181,False,Nucleus,5,4
216,754,1216,False,Nucleus,5,4
217,985,180,False,Nucleus,1,4
218,929,195,False,Nucleus,1,4
219,928,196,False,Nucleus,1,4
220,1046,232,False,Nucleus,1,4
221,1046,231,False,Nucleus,1,4
222,1026,232,False,Nucleus,1,4
223,934,235,False,Nucleus,1,4
224,991,248,False,Nucleus,1,4
225,991,248,False,Nucleus,1,4
226,973,251,False,Nucleus,1,4
227,950,300,False,Nucleus,1,4
228,937,305,False,Nucleus,1,4
229,937,305,False,Nucleus,1,4
230,937,311,False,Nucleus,1,4
231,919,319,False,Nucleus,1,4
232,918,320,False,Nucleus,1,4
233,919,319,False,Nucleus,1,4
234,917,322,False,Nucleus,1,4
235,902,374,False,Nucleus,1,4
236,990,839,False,Cytoplasm,4,4
237,988,838,False,Cytoplasm,4,4
238,1044,847,False,Cytoplasm,4,4
239,1043,842,False,Cytoplasm,4,4
240,1042,848,False,Cytoplasm,4,4
241,979,853,False,Nucleus,4,4
242,979,854,False,Nucleus,4,4
243,984,856,False,Nucleus,4,4
244,981,855,False,Nucleus,4,4
245,1061,865,False,Cytoplasm,4,4
246,1102,885,False,Cytoplasm,4,4
247,1101,890,False,Cytoplasm,4,4
248,1101,888,False,Cytoplasm,4,4
249,1077,887,False,Cytoplasm,4,4
250,1079,888,False,Cytoplasm,4,4
251,705,967,False,Nucleus,5,4
252,725,984,False,Nucleus,5,4
253,719,988,False,Nucleus,5,4
254,732,997,False,Nucleus,5,4
255,701,1000,False,Nucleus,5,4
256,726,1006,False,Nucleus,5,4
257,699,1007,False,Nucleus,5,4
258,697,1010,False,Nucleus,5,4
259,700,1012,False,Nucleus,5,4
260,1378,1302,False,Cytoplasm,2,5
261,537,1524,False,Cytoplasm,4,5
262,601,1669,False,Cytoplasm,4,5
263,1530,1179,False,Nucleus,2,5
264,470,1626,False,Cytoplasm,4,5
265,541,515,False,Nucleus,1,5
266,532,561,False,Nucleus,1,5
267,534,560,False,Nucleus,1,5
268,1417,1194,False,Cytoplasm,2,5
269,1548,1258,False,Nucleus,2,5
270,1495,1295,False,Nucleus,2,5
271,1020,1313,False,Cytoplasm,3,5
272,1057,1448,False,Nucleus,3,5
273,1055,1447,False,Nucleus,3,5
274,605,1553,False,Nucleus,4,5
275,615,324,False,Cytoplasm,1,6
276,1270,365,False,Cytoplasm,2,6
277,1546,411,False,Cytoplasm,2,6
278,1484,423,False,Cytoplasm,2,6
279,723,641,False,Cytoplasm,3,6
280,739,760,False,Cytoplasm,3,6
281,759,779,False,Cytoplasm,3,6
282,819,848,False,Cytoplasm,3,6
283,795,877,False,Cytoplasm,3,6
284,920,977,False,Cytoplasm,3,6
285,1038,1335,False,Nucleus,5,6
286,984,1431,False,Cytoplasm,5,6
287,1215,1441,False,Cytoplasm,6,6
288,1256,1443,False,Cytoplasm,6,6
289,1197,1447,False,Cytoplasm,6,6
290,1212,1466,False,Cytoplasm,6,6
291,1213,1476,False,Cytoplasm,6,6
292,1229,333,False,Cytoplasm,2,6
293,845,1387,False,Cytoplasm,5,6
294,1287,303,False,Cytoplasm,2,6
295,1458,407,False,Nucleus,2,6
296,802,912,False,Cytoplasm,3,6
297,596,948,False,Cytoplasm,4,6
298,1050,1353,False,Nucleus,5,6
299,1050,1353,False,Nucleus,5,6
300,1051,1353,False,Nucleus,5,6
301,1183,1451,False,Cytoplasm,6,6
302,1214,1522,False,Nucleus,6,6
303,1213,1573,False,Nucleus,6,6
304,1284,681,False,Cytoplasm,2,7
305,1358,734,False,Cytoplasm,2,7
306,1247,763,False,Nucleus,2,7
307,1315,781,False,Cytoplasm,2,7
308,1283,795,False,Cytoplasm,2,7
309,1301,803,False,Cytoplasm,2,7
310,1240,842,False,Cytoplasm,2,7
311,694,1050,False,Nucleus,4,7
312,730,1078,False,Nucleus,4,7
313,1359,734,False,Cytoplasm,2,7
314,1155,856,False,Cytoplasm,2,7
315,949,1054,False,Cytoplasm,4,7
316,1335,1059,False,Cytoplasm,3,7
317,1205,712,False,Cytoplasm,2,7
318,1226,741,False,Nucleus,2,7
319,1151,747,False,Nucleus,2,7
320,1101,769,False,Cytoplasm,2,7
321,1104,771,False,Cytoplasm,2,7
322,1211,774,False,Nucleus,2,7
323,1204,805,False,Nucleus,2,7
324,1241,844,False,Cytoplasm,2,7
325,400,1484,False,Nucleus,1,7
326,401,1484,False,Nucleus,1,7
327,400,1484,False,Nucleus,1,7
328,403,1483,False,Nucleus,1,7
329,400,1484,False,Nucleus,1,7
330,403,1485,False,Nucleus,1,7
331,403,1483,False,Nucleus,1,7
332,400,1480,False,Nucleus,1,7
333,1313,411,False,Cytoplasm,2,8
334,1323,513,False,Cytoplasm,2,8
335,1180,543,False,Nucleus,2,8
336,990,589,False,Cytoplasm,2,8
337,1132,632,False,Cytoplasm,2,8
338,1144,635,False,Cytoplasm,2,8
339,1274,777,False,Cytoplasm,3,8
340,1280,832,False,Cytoplasm,3,8
341,1217,872,False,Cytoplasm,3,8
342,1300,1139,False,Cytoplasm,4,8
343,1483,1142,False,Cytoplasm,4,8
344,1369,1200,False,Nucleus,4,8
345,1356,1217,False,Cytoplasm,4,8
346,1268,440,False,Nucleus,2,8
347,1269,441,False,Nucleus,2,8
348,1312,441,False,Nucleus,2,8
349,1122,556,False,Cytoplasm,2,8
350,1277,851,False,Cytoplasm,3,8
351,1219,863,False,Cytoplasm,3,8
352,1252,889,False,Nucleus,3,8
353,1249,890,False,Nucleus,3,8
354,1179,955,False,Nucleus,3,8
355,1361,1117,False,Nucleus,4,8
356,1484,1143,False,Cytoplasm,4,8
357,1464,1165,False,Cytoplasm,4,8
358,1429,1224,False,Cytoplasm,4,8
359,1431,1224,False,Cytoplasm,4,8
360,1430,1227,False,Cytoplasm,4,8
361,1426,1227,False,Cytoplasm,4,8
362,1133,312,False,Cytoplasm,1,9
363,1433,1270,False,Cytoplasm,3,9
364,1378,1342,False,Nucleus,3,9
365,1100,1405,False,Nucleus,4,9
366,1342,1410,False,Nucleus,3,9
367,1016,1429,False,Nucleus,4,9
368,981,1443,False,Nucleus,4,9
369,1012,1484,False,Cytoplasm,4,9
370,1298,1293,False,Nucleus,3,9
371,1423,1331,False,Cytoplasm,3,9
372,1102,1447,False,Nucleus,4,9
373,1094,1481,False,Nucleus,4,9
374,1191,1541,False,Cytoplasm,4,9
375,1187,1543,False,Cytoplasm,4,9
376,1344,1343,False,Nucleus,3,9
377,1398,1349,False,Nucleus,3,9
378,1397,1348,False,Nucleus,3,9
379,1397,1350,False,Nucleus,3,9
380,1404,1351,False,Nucleus,3,9
381,1404,1348,False,Nucleus,3,9
382,1401,1352,False,Nucleus,3,9
383,1399,1347,False,Nucleus,3,9
384,1076,1350,False,Nucleus,4,9
385,1335,1353,False,Nucleus,3,9
386,1335,1353,False,Nucleus,3,9
387,1336,1354,False,Nucleus,3,9
388,1335,1353,False,Nucleus,3,9
389,1336,1354,False,Nucleus,3,9
390,1335,1353,False,Nucleus,3,9
391,1336,1354,False,Nucleus,3,9
392,1337,1352,False,Nucleus,3,9
393,1335,1354,False,Nucleus,3,9
