,x,y,tssite,region,cell,frame
0,671,1482,False,Cytoplasm,2,0
1,626,1572,False,Nucleus,2,0
2,329,1581,False,Nucleus,3,0
3,273,1604,False,Nucleus,3,0
4,1198,167,False,Nucleus,1,1
5,1306,239,False,Nucleus,1,1
6,1641,1264,False,Cytoplasm,4,1
7,579,1482,False,Nucleus,5,1
8,524,1513,False,Nucleus,5,1
9,1186,165,False,Nucleus,1,1
10,1284,246,False,Nucleus,1,1
11,1285,275,False,Nucleus,1,1
12,1284,274,False,Nucleus,1,1
13,1284,276,False,Nucleus,1,1
14,1285,271,False,Nucleus,1,1
15,1286,273,False,Nucleus,1,1
16,1283,277,False,Nucleus,1,1
17,147,728,False,Cytoplasm,2,1
18,929,998,False,Nucleus,3,1
19,931,1000,False,Nucleus,3,1
20,1634,1219,False,Cytoplasm,4,1
21,1634,1221,False,Cytoplasm,4,1
22,1632,1219,False,Cytoplasm,4,1
23,1636,1218,False,Cytoplasm,4,1
24,1632,1221,False,Cytoplasm,4,1
25,1592,1346,False,Cytoplasm,4,1
26,1500,418,False,Nucleus,1,2
27,1356,431,False,Nucleus,1,2
28,1565,445,False,Cytoplasm,1,2
29,1400,457,False,Nucleus,1,2
30,1384,474,False,Nucleus,1,2
31,1575,499,False,Cytoplasm,1,2
32,1406,521,False,Nucleus,1,2
33,1426,524,False,Nucleus,1,2
34,1414,540,False,Nucleus,1,2
35,1438,1040,False,Cytoplasm,2,2
36,1506,1079,False,Nucleus,2,2
37,1486,1186,False,Cytoplasm,2,2
38,1402,1232,False,Cytoplasm,2,2
39,1532,1235,False,Cytoplasm,2,2
40,1415,426,False,Nucleus,1,2
41,1413,435,False,Nucleus,1,2
42,1385,473,False,Nucleus,1,2
43,1384,477,False,Nucleus,1,2
44,1464,498,False,Nucleus,1,2
45,1598,504,False,Cytoplasm,1,2
46,1407,520,False,Nucleus,1,2
47,1413,541,False,Nucleus,1,2
48,1581,1085,False,Cytoplasm,2,2
49,1422,397,False,Nucleus,1,2
50,1389,457,False,Nucleus,1,2
51,1401,458,False,Nucleus,1,2
52,1413,464,False,Nucleus,1,2
53,1399,465,False,Nucleus,1,2
54,1398,466,False,Nucleus,1,2
55,1399,465,False,Nucleus,1,2
56,1398,466,False,Nucleus,1,2
57,1399,465,False,Nucleus,1,2
58,1398,466,False,Nucleus,1,2
59,1399,465,False,Nucleus,1,2
60,1400,470,False,Nucleus,1,2
61,1401,466,False,Nucleus,1,2
62,1486,474,False,Nucleus,1,2
63,1547,1086,False,Nucleus,2,2
64,1582,1115,False,Cytoplasm,2,2
65,1506,321,False,Cytoplasm,1,3
66,1502,821,False,Nucleus,3,3
67,1468,926,False,Cytoplasm,3,3
68,1357,934,False,Cytoplasm,3,3
69,1459,1237,False,Cytoplasm,4,3
70,1349,1239,False,Cytoplasm,4,3
71,1399,1246,False,Cytoplasm,4,3
72,1472,1255,False,Cytoplasm,4,3
73,1371,1261,False,Cytoplasm,4,3
74,1467,1263,False,Cytoplasm,4,3
75,1407,1271,False,Cytoplasm,4,3
76,1337,1273,False,Cytoplasm,4,3
77,1329,1276,False,Cytoplasm,4,3
78,1351,1276,False,Cytoplasm,4,3
79,1370,1277,False,Cytoplasm,4,3
80,1388,1281,False,Cytoplasm,4,3
81,1470,1287,False,Cytoplasm,4,3
82,1507,1287,False,Cytoplasm,4,3
83,1361,1298,False,Cytoplasm,4,3
84,1520,1299,False,Cytoplasm,4,3
85,1342,1320,False,Cytoplasm,4,3
86,1533,1325,False,Cytoplasm,4,3
87,1518,1362,False,Nucleus,4,3
88,1435,1370,False,Nucleus,4,3
89,1423,1378,False,Nucleus,4,3
90,1348,1218,False,Cytoplasm,4,3
91,1337,1274,False,Cytoplasm,4,3
92,394,1312,False,Cytoplasm,5,3
93,1531,810,False,Nucleus,3,3
94,1502,830,False,Nucleus,3,3
95,1440,832,False,Nucleus,3,3
96,1439,833,False,Nucleus,3,3
97,1432,841,False,Nucleus,3,3
98,1433,842,False,Nucleus,3,3
99,1514,873,False,Nucleus,3,3
100,1515,873,False,Nucleus,3,3
101,1512,874,False,Nucleus,3,3
102,1355,1266,False,Cytoplasm,4,3
103,1376,1270,False,Cytoplasm,4,3
104,1355,1273,False,Cytoplasm,4,3
105,1381,1277,False,Cytoplasm,4,3
106,1359,1284,False,Cytoplasm,4,3
107,1363,1286,False,Cytoplasm,4,3
108,1361,1282,False,Cytoplasm,4,3
109,1371,1289,False,Cytoplasm,4,3
110,1364,1294,False,Cytoplasm,4,3
111,1351,1299,False,Cytoplasm,4,3
112,1354,1299,False,Cytoplasm,4,3
113,1360,1299,False,Cytoplasm,4,3
114,1421,1310,False,Nucleus,4,3
115,1392,1313,False,Nucleus,4,3
116,1392,1315,False,Nucleus,4,3
117,1388,1315,False,Nucleus,4,3
118,1443,1360,False,Nucleus,4,3
119,1064,246,False,Cytoplasm,1,4
120,994,256,False,Cytoplasm,1,4
121,1118,1271,False,Cytoplasm,2,5
122,1030,1294,False,Nucleus,2,5
123,1178,1297,False,Cytoplasm,2,5
124,1039,1304,False,Nucleus,2,5
125,1097,1303,False,Nucleus,2,5
126,1129,1309,False,Nucleus,2,5
127,958,1312,False,Cytoplasm,2,5
128,1236,1312,False,Cytoplasm,2,5
129,1244,1316,False,Cytoplasm,2,5
130,1232,1327,False,Cytoplasm,2,5
131,1032,1338,False,Nucleus,2,5
132,1109,1342,False,Nucleus,2,5
133,994,1365,False,Cytoplasm,2,5
134,1046,1416,False,Nucleus,2,5
135,1100,1441,False,Nucleus,2,5
136,1228,1323,False,Cytoplasm,2,5
137,1200,1344,False,Cytoplasm,2,5
138,995,1366,False,Cytoplasm,2,5
139,1114,1379,False,Nucleus,2,5
140,1101,1441,False,Nucleus,2,5
141,1100,1489,False,Cytoplasm,2,5
142,1087,1262,False,Cytoplasm,2,5
143,1039,1324,False,Nucleus,2,5
144,1039,1325,False,Nucleus,2,5
145,1039,1324,False,Nucleus,2,5
146,1039,1325,False,Nucleus,2,5
147,1037,1322,False,Nucleus,2,5
148,1039,1322,False,Nucleus,2,5
149,1039,1325,False,Nucleus,2,5
150,1039,1319,False,Nucleus,2,5
151,1041,1323,False,Nucleus,2,5
152,1037,1322,False,Nucleus,2,5
153,1040,1326,False,Nucleus,2,5
154,1041,1319,False,Nucleus,2,5
155,1035,1325,False,Nucleus,2,5
156,981,1328,False,Cytoplasm,2,5
157,1122,1329,False,Nucleus,2,5
158,1257,1331,False,Cytoplasm,2,5
159,1136,1342,False,Nucleus,2,5
