,x,y,tssite,region,cell,frame
0,1594,136,False,Cytoplasm,1,0
1,1229,477,False,Cytoplasm,2,0
2,662,480,False,Cytoplasm,3,0
3,1238,485,False,Cytoplasm,2,0
4,691,501,False,Cytoplasm,3,0
5,1249,506,False,Cytoplasm,2,0
6,1213,514,False,Cytoplasm,2,0
7,803,528,False,Cytoplasm,3,0
8,684,550,False,Cytoplasm,3,0
9,1242,578,False,Nucleus,2,0
10,662,634,False,Nucleus,3,0
11,807,636,False,Nucleus,3,0
12,751,725,False,Nucleus,3,0
13,169,732,False,Nucleus,4,0
14,264,735,False,Cytoplasm,4,0
15,155,743,False,Nucleus,4,0
16,235,753,False,Cytoplasm,4,0
17,167,765,False,Nucleus,4,0
18,270,771,False,Cytoplasm,4,0
19,238,787,False,Cytoplasm,4,0
20,103,790,False,Nucleus,4,0
21,269,821,False,Cytoplasm,4,0
22,1177,824,False,Cytoplasm,2,0
23,126,833,False,Nucleus,4,0
24,268,834,False,Cytoplasm,4,0
25,119,842,False,Nucleus,4,0
26,130,846,False,Nucleus,4,0
27,67,852,False,Cytoplasm,4,0
28,273,856,False,Cytoplasm,4,0
29,486,1377,False,Cytoplasm,5,0
30,419,1400,False,Nucleus,5,0
31,413,1412,False,Nucleus,5,0
32,300,1433,False,Nucleus,5,0
33,473,1445,False,Cytoplasm,5,0
34,190,1449,False,Cytoplasm,5,0
35,1336,1631,False,Cytoplasm,6,0
36,1288,1648,False,Cytoplasm,6,0
37,1482,1738,False,Cytoplasm,6,0
38,1238,484,False,Cytoplasm,2,0
39,1171,520,False,Cytoplasm,2,0
40,1301,576,False,Cytoplasm,2,0
41,804,591,False,Nucleus,3,0
42,671,605,False,Nucleus,3,0
43,251,662,False,Cytoplasm,4,0
44,162,709,False,Cytoplasm,4,0
45,753,725,False,Nucleus,3,0
46,140,733,False,Nucleus,4,0
47,156,744,False,Nucleus,4,0
48,159,794,False,Nucleus,4,0
49,269,822,False,Cytoplasm,4,0
50,1482,1661,False,Cytoplasm,6,0
51,1573,222,False,Nucleus,1,0
52,1575,251,False,Nucleus,1,0
53,1574,250,False,Nucleus,1,0
54,1253,499,False,Cytoplasm,2,0
55,1251,500,False,Cytoplasm,2,0
56,1250,584,False,Cytoplasm,2,0
57,681,646,False,Nucleus,3,0
58,680,645,False,Nucleus,3,0
59,681,646,False,Nucleus,3,0
60,789,685,False,Nucleus,3,0
61,772,702,False,Nucleus,3,0
62,376,735,False,Cytoplasm,4,0
63,376,735,False,Cytoplasm,4,0
64,131,753,False,Nucleus,4,0
65,167,767,False,Nucleus,4,0
66,157,787,False,Nucleus,4,0
67,158,788,False,Nucleus,4,0
68,184,895,False,Cytoplasm,4,0
69,184,895,False,Cytoplasm,4,0
70,262,902,False,Cytoplasm,4,0
71,258,933,False,Cytoplasm,4,0
72,257,932,False,Cytoplasm,4,0
73,412,1403,False,Nucleus,5,0
74,412,1404,False,Nucleus,5,0
75,425,1441,False,Nucleus,5,0
76,296,1479,False,Nucleus,5,0
77,296,1479,False,Nucleus,5,0
78,294,1481,False,Nucleus,5,0
79,297,1476,False,Nucleus,5,0
80,282,1479,False,Cytoplasm,5,0
81,281,1480,False,Cytoplasm,5,0
82,313,1485,False,Nucleus,5,0
83,313,1485,False,Nucleus,5,0
84,330,1507,False,Nucleus,5,0
85,332,1506,False,Nucleus,5,0
86,1314,779,True,Cytoplasm,2,0
87,1370,1779,True,Nucleus,6,0
